code,name_en,name_es,Branch / Sector,Identifier
01,Presidency of the Republic,Presidencia de la República,Órganos Autónomos,CL-COA-01
02,National Congress,Congreso Nacional,Poder Legislativo,CL-COA-02
03,Judiciary,Poder Judicial,Poder Judicial,CL-COA-03
04,Office of the Comptroller General,Contraloría General de la República,Órganos Autónomos,CL-COA-04
05,Ministry of the Interior,Ministerio del Interior,Poder Ejecutivo — Ministerios,CL-COA-05
06,Ministry of Foreign Affairs,Ministerio de Relaciones Exteriores,Poder Ejecutivo — Ministerios,CL-COA-06
07,"Ministry of Economy, Development and Tourism","Ministerio de Economía, Fomento y Turismo",Poder Ejecutivo — Ministerios,CL-COA-07
08,Ministry of Finance,Ministerio de Hacienda,Poder Ejecutivo — Ministerios,CL-COA-08
09,Ministry of Education,Ministerio de Educación,Poder Ejecutivo — Ministerios,CL-COA-09
10,Ministry of Justice and Human Rights,Ministerio de Justicia y Derechos Humanos,Poder Ejecutivo — Ministerios,CL-COA-10
11,Ministry of National Defence,Ministerio de Defensa Nacional,Poder Ejecutivo — Ministerios,CL-COA-11
12,Ministry of Public Works,Ministerio de Obras Públicas,Poder Ejecutivo — Ministerios,CL-COA-12
13,Ministry of Agriculture,Ministerio de Agricultura,Poder Ejecutivo — Ministerios,CL-COA-13
14,Ministry of National Assets,Ministerio de Bienes Nacionales,Poder Ejecutivo — Ministerios,CL-COA-14
15,Ministry of Labour and Social Welfare,Ministerio del Trabajo y Previsión Social,Poder Ejecutivo — Ministerios,CL-COA-15
16,Ministry of Health,Ministerio de Salud,Poder Ejecutivo — Ministerios,CL-COA-16
17,Ministry of Mining,Ministerio de Minería,Poder Ejecutivo — Ministerios,CL-COA-17
18,Ministry of Housing and Urbanism,Ministerio de Vivienda y Urbanismo,Poder Ejecutivo — Ministerios,CL-COA-18
19,Ministry of Transport and Telecommunications,Ministerio de Transportes y Telecomunicaciones,Poder Ejecutivo — Ministerios,CL-COA-19
20,Ministry General Secretariat of Government,Ministerio Secretaría General de Gobierno,Poder Ejecutivo — Ministerios,CL-COA-20
21,Ministry of Social Development and Family,Ministerio de Desarrollo Social y Familia,Poder Ejecutivo — Ministerios,CL-COA-21
22,Ministry General Secretariat of the Presidency,Ministerio Secretaría General de la Presidencia de la República,Poder Ejecutivo — Ministerios,CL-COA-22
23,Public Prosecutor's Office,Ministerio Público,Órganos Autónomos,CL-COA-23
24,Ministry of Energy,Ministerio de Energía,Poder Ejecutivo — Ministerios,CL-COA-24
25,Ministry of the Environment,Ministerio del Medio Ambiente,Poder Ejecutivo — Ministerios,CL-COA-25
26,Ministry of Sport,Ministerio del Deporte,Poder Ejecutivo — Ministerios,CL-COA-26
27,Ministry of Women and Gender Equality,Ministerio de la Mujer y la Equidad de Género,Poder Ejecutivo — Ministerios,CL-COA-27
28,Electoral Service,Servicio Electoral,Órganos Autónomos,CL-COA-28
29,"Ministry of Cultures, Arts and Heritage","Ministerio de las Culturas, las Artes y el Patrimonio",Poder Ejecutivo — Ministerios,CL-COA-29
30,"Ministry of Science, Technology, Knowledge and Innovation","Ministerio de Ciencia, Tecnología, Conocimiento e Innovación",Poder Ejecutivo — Ministerios,CL-COA-30
31,Regional Governments Financing,Financiamiento Gobiernos Regionales,Gobiernos Subnacionales,CL-COA-31
32,Ministry of Public Security,Ministerio de Seguridad Pública,Poder Ejecutivo — Ministerios,CL-COA-32
50,Public Treasury,Tesoro Público,Tesoro,CL-COA-50
