code,name_fr
01,PRESIDENCE DE LA REPUBLIQUE
02,SERVICES RATTACHES A LA PRESIDENCE
03,ASSEMBLEE NATIONALE
04,SERVICES DU PREMIER MINISTRE
05,CONSEIL ECONOMIQUE ET SOCIAL
06,MINISTERE DES RELATIONS EXTERIEURES
07,MINISTERE DE L'ADMINISTRATION TERRITORIALE
08,MINISTERE DE LA JUSTICE
09,COUR SUPREME
10,MINISTERE DES MARCHES PUBLICS
11,CONTROLE SUPERIEUR DE L'ETAT
12,DELEGATION GENERALE A LA SURETE NATIONALE
13,MINISTERE DE LA DEFENSE
14,MINISTERE DES ARTS ET DE LA CULTURE
15,MINISTERE DE L'EDUCATION DE BASE
16,MINISTERE DES SPORTS ET DE L'EDUCATION PHYSIQUE
17,MINISTERE DE LA COMMUNICATION
18,MINISTERE DE L'ENSEIGNEMENT SUPERIEUR
19,MINISTERE DE LA RECHERCHE SCIENTIFIQUE ET DE L'INNOVATION
20,MINISTERE DES FINANCES
21,MINISTERE DU COMMERCE
22,"MINISTERE DE L'ECONOMIE, DE PLANIFICATION ET DE L'AMENAGEMENT DU TERRITOIRE"
23,MINISTERE DU TOURISME ET DES LOISIRS
25,MINISTERE DES ENSEIGNEMENTS SECONDAIRES
26,MINISTERE DE LA JEUNESSE ET DE L'EDUCATION CIVIQUE
27,MINISTRE DE LA DECENTRALISATION ET DU DEVELOPPEMENT LOCAL
28,"MINISTERE DE L'ENVIRONNEMENT, DE LA PROTECTION DE LA NATURE ET DU DEVELOPPEMENT DURABLE"
29,"MINISTERE DES MINES, DE L'INDUSTRIE ET DU DEVELOPPEMENT TECHNOLOGIQUE"
30,MINISTERE DE L'AGRICULTURE ET DU DEVELOPPEMENT RURAL
31,"MINISTERE DE L'ELEVAGE, DES PECHES ET DES INDUSTRIES ANIMALES"
32,MINISTERE DE L'EAU ET DE L'ENERGIE
33,MINISTERE DES FORETS ET DE LA FAUNE
35,MINISTERE DE L'EMPLOI ET DE LA FORMATION PROFESSIONNELLE
36,MINISTERE DES TRAVAUX PUBLICS
37,"MINISTERE DES DOMAINES, DU CADASTRE ET DES AFFAIRES FONCIERES"
38,MINISTERE DE L'HABITAT ET DU DEVELOPPEMENT URBAIN
39,"MINISTERE DES PETITES ET MOYENNES ENTREPRISES, DE L'ECONOMIE SOCIALE ET DE L'ARTISANAT"
40,MINISTERE DE LA SANTE PUBLIQUE
41,MINISTERE DU TRAVAIL ET DE LA SECURITE SOCIALE
42,MINISTERE DES AFFAIRES SOCIALES
43,MINISTERE DE LA PROMOTION DE LA FEMME ET DE LA FAMILLE
45,MINISTERE DES POSTES ET TELECOMMUNICATIONS
46,MINISTERE DES TRANSPORTS
48,"COMITE NATIONAL DEDESARMEMENT, DE DEMOBILISATION ET DE REINTEGRATION"
49,CONSEIL CONSTITUTIONNEL
50,MINISTERE DE LA FONCTION PUBLIQUE ET DE LA REFORME ADMINISTRATIVE
51,ELECTIONS CAMEROON
52,COMMISSION DES DROITS DE L'HOMME DU CAMEROUN
53,SENAT
54,COMMISSION NATIONALE POUR LA PROMOTION DU BILINGUISME ET DU MULTICULTURALISME
55,PENSIONS
56,DETTE PUBLIQUE EXTERIEURE
57,DETTE PUBLIQUE INTERIEURE
60,SUBVENTIONS ET CONTRIBUTIONS
65,DEPENSES COMMUNES
92,PARTICIPATIONS
93,REHABILITATION/RESTRUCTURATION
94,INTERVENTIONS EN INVESTISSEMENTS
95,REPORT
