Identifier,Code,Name (Turkish),Name (English),Branch / Sector
TR-COA-1,1,Türkiye Büyük Millet Meclisi,Grand National Assembly of Türkiye,Genel Bütçe Kapsamındaki Kamu İdareleri (General Budget)
TR-COA-2,2,Cumhurbaşkanlığı,Presidency of the Republic,Genel Bütçe Kapsamındaki Kamu İdareleri (General Budget)
TR-COA-3,3,Anayasa Mahkemesi,Constitutional Court,Genel Bütçe Kapsamındaki Kamu İdareleri (General Budget)
TR-COA-4,4,Yargıtay,Court of Cassation,Genel Bütçe Kapsamındaki Kamu İdareleri (General Budget)
TR-COA-5,5,Danıştay,Council of State,Genel Bütçe Kapsamındaki Kamu İdareleri (General Budget)
TR-COA-6,6,Hâkimler ve Savcılar Kurulu,Council of Judges and Prosecutors,Genel Bütçe Kapsamındaki Kamu İdareleri (General Budget)
TR-COA-7,7,Sayıştay,Court of Accounts,Genel Bütçe Kapsamındaki Kamu İdareleri (General Budget)
TR-COA-8,8,Adalet Bakanlığı,Ministry of Justice,Genel Bütçe Kapsamındaki Kamu İdareleri (General Budget)
TR-COA-9,9,Millî Savunma Bakanlığı,Ministry of National Defence,Genel Bütçe Kapsamındaki Kamu İdareleri (General Budget)
TR-COA-10,10,İçişleri Bakanlığı,Ministry of Interior,Genel Bütçe Kapsamındaki Kamu İdareleri (General Budget)
TR-COA-11,11,Dışişleri Bakanlığı,Ministry of Foreign Affairs,Genel Bütçe Kapsamındaki Kamu İdareleri (General Budget)
TR-COA-12,12,Hazine ve Maliye Bakanlığı,Ministry of Treasury and Finance,Genel Bütçe Kapsamındaki Kamu İdareleri (General Budget)
TR-COA-13,13,Millî Eğitim Bakanlığı,Ministry of National Education,Genel Bütçe Kapsamındaki Kamu İdareleri (General Budget)
TR-COA-14,14,Sağlık Bakanlığı,Ministry of Health,Genel Bütçe Kapsamındaki Kamu İdareleri (General Budget)
TR-COA-15,15,Ulaştırma ve Altyapı Bakanlığı,Ministry of Transport and Infrastructure,Genel Bütçe Kapsamındaki Kamu İdareleri (General Budget)
TR-COA-16,16,Aile ve Sosyal Hizmetler Bakanlığı,Ministry of Family and Social Services,Genel Bütçe Kapsamındaki Kamu İdareleri (General Budget)
TR-COA-17,17,Enerji ve Tabii Kaynaklar Bakanlığı,Ministry of Energy and Natural Resources,Genel Bütçe Kapsamındaki Kamu İdareleri (General Budget)
TR-COA-18,18,Kültür ve Turizm Bakanlığı,Ministry of Culture and Tourism,Genel Bütçe Kapsamındaki Kamu İdareleri (General Budget)
TR-COA-19,19,Sanayi ve Teknoloji Bakanlığı,Ministry of Industry and Technology,Genel Bütçe Kapsamındaki Kamu İdareleri (General Budget)
TR-COA-20,20,"Çevre, Şehircilik ve İklim Değişikliği Bakanlığı","Ministry of Environment, Urbanisation and Climate Change",Genel Bütçe Kapsamındaki Kamu İdareleri (General Budget)
TR-COA-21,21,Ticaret Bakanlığı,Ministry of Trade,Genel Bütçe Kapsamındaki Kamu İdareleri (General Budget)
TR-COA-22,22,Gençlik ve Spor Bakanlığı,Ministry of Youth and Sports,Genel Bütçe Kapsamındaki Kamu İdareleri (General Budget)
TR-COA-23,23,Tarım ve Orman Bakanlığı,Ministry of Agriculture and Forestry,Genel Bütçe Kapsamındaki Kamu İdareleri (General Budget)
TR-COA-24,24,Millî Güvenlik Kurulu Genel Sekreterliği,Secretariat General of the National Security Council,Genel Bütçe Kapsamındaki Kamu İdareleri (General Budget)
TR-COA-25,25,Millî İstihbarat Teşkilatı Başkanlığı,National Intelligence Organisation,Genel Bütçe Kapsamındaki Kamu İdareleri (General Budget)
TR-COA-26,26,Jandarma Genel Komutanlığı,General Command of Gendarmerie,Genel Bütçe Kapsamındaki Kamu İdareleri (General Budget)
TR-COA-27,27,Sahil Güvenlik Komutanlığı,Coast Guard Command,Genel Bütçe Kapsamındaki Kamu İdareleri (General Budget)
TR-COA-28,28,Emniyet Genel Müdürlüğü,General Directorate of Security (National Police),Genel Bütçe Kapsamındaki Kamu İdareleri (General Budget)
TR-COA-29,29,Diyanet İşleri Başkanlığı,Presidency of Religious Affairs,Genel Bütçe Kapsamındaki Kamu İdareleri (General Budget)
TR-COA-31,31,Türkiye İstatistik Kurumu,Turkish Statistical Institute (TÜİK),Özel Bütçeli Diğer İdareler (Other Special Budget)
TR-COA-32,32,Afet ve Acil Durum Yönetimi Başkanlığı,Disaster and Emergency Management Presidency (AFAD),Genel Bütçe Kapsamındaki Kamu İdareleri (General Budget)
TR-COA-33,33,Gelir İdaresi Başkanlığı,Revenue Administration,Genel Bütçe Kapsamındaki Kamu İdareleri (General Budget)
TR-COA-34,34,Tapu ve Kadastro Genel Müdürlüğü,General Directorate of Land Registry and Cadastre,Genel Bütçe Kapsamındaki Kamu İdareleri (General Budget)
TR-COA-35,35,Meteoroloji Genel Müdürlüğü,General Directorate of Meteorology,Genel Bütçe Kapsamındaki Kamu İdareleri (General Budget)
TR-COA-36,36,Göç İdaresi Başkanlığı,Presidency of Migration Management,Genel Bütçe Kapsamındaki Kamu İdareleri (General Budget)
TR-COA-37,37,Avrupa Birliği Başkanlığı,Directorate for EU Affairs,Genel Bütçe Kapsamındaki Kamu İdareleri (General Budget)
TR-COA-38,38,Devlet Arşivleri Başkanlığı,Presidency of State Archives,Genel Bütçe Kapsamındaki Kamu İdareleri (General Budget)
TR-COA-39,39,İletişim Başkanlığı,Directorate of Communications,Genel Bütçe Kapsamındaki Kamu İdareleri (General Budget)
TR-COA-40,40,Millî Saraylar İdaresi Başkanlığı,Presidency of National Palaces Administration,Genel Bütçe Kapsamındaki Kamu İdareleri (General Budget)
TR-COA-41,41,Strateji ve Bütçe Başkanlığı,Presidency of Strategy and Budget,Genel Bütçe Kapsamındaki Kamu İdareleri (General Budget)
TR-COA-42,42,"Ölçme, Seçme ve Yerleştirme Merkezi Başkanlığı","Measuring, Selection and Placement Centre (ÖSYM)",Özel Bütçeli Diğer İdareler (Other Special Budget)
TR-COA-43,43,Savunma Sanayi Başkanlığı,Presidency of Defence Industries,Özel Bütçeli Diğer İdareler (Other Special Budget)
