code,name_en,name_pt,Branch / Sector,Identifier
01000,Chamber of Deputies,Câmara dos Deputados,Poder Legislativo,BR-COA-01000
02000,Federal Senate,Senado Federal,Poder Legislativo,BR-COA-02000
03000,Federal Court of Accounts,Tribunal de Contas da União,Poder Legislativo,BR-COA-03000
10000,Supreme Federal Court,Supremo Tribunal Federal,Poder Judiciário,BR-COA-10000
11000,Superior Court of Justice,Superior Tribunal de Justiça,Poder Judiciário,BR-COA-11000
12000,Federal Justice,Justiça Federal,Poder Judiciário,BR-COA-12000
13000,Federal Military Justice,Justiça Militar,Poder Judiciário,BR-COA-13000
14000,Electoral Justice,Justiça Eleitoral,Poder Judiciário,BR-COA-14000
15000,Labour Justice,Justiça do Trabalho,Poder Judiciário,BR-COA-15000
16000,Federal District and Territories Justice,Justiça do Distrito Federal e dos Territórios,Poder Judiciário,BR-COA-16000
17000,National Council of Justice,Conselho Nacional de Justiça,Poder Judiciário,BR-COA-17000
29000,Federal Public Defender's Office,Defensoria Pública da União,Funções Essenciais à Justiça,BR-COA-29000
34000,Federal Public Prosecutor's Office,Ministério Público da União,Funções Essenciais à Justiça,BR-COA-34000
59000,National Council of the Public Prosecutor's Office,Conselho Nacional do Ministério Público,Funções Essenciais à Justiça,BR-COA-59000
63000,Office of the Attorney General of the Union,Advocacia-Geral da União,Funções Essenciais à Justiça,BR-COA-63000
20000,Presidency of the Republic,Presidência da República,Poder Executivo — Presidência,BR-COA-20000
37000,Office of the Comptroller General,Controladoria-Geral da União,Poder Executivo — Presidência,BR-COA-37000
60000,Office of the Vice-Presidency of the Republic,Gabinete da Vice-Presidência da República,Poder Executivo — Presidência,BR-COA-60000
22000,Ministry of Agriculture and Livestock,Ministério da Agricultura e Pecuária,Poder Executivo — Ministérios,BR-COA-22000
24000,"Ministry of Science, Technology and Innovation","Ministério da Ciência, Tecnologia e Inovação",Poder Executivo — Ministérios,BR-COA-24000
25000,Ministry of Finance,Ministério da Fazenda,Poder Executivo — Ministérios,BR-COA-25000
26000,Ministry of Education,Ministério da Educação,Poder Executivo — Ministérios,BR-COA-26000
28000,"Ministry of Development, Industry, Commerce and Services","Ministério do Desenvolvimento, Indústria, Comércio e Serviços",Poder Executivo — Ministérios,BR-COA-28000
30000,Ministry of Justice and Public Security,Ministério da Justiça e Segurança Pública,Poder Executivo — Ministérios,BR-COA-30000
32000,Ministry of Mines and Energy,Ministério de Minas e Energia,Poder Executivo — Ministérios,BR-COA-32000
33000,Ministry of Social Security,Ministério da Previdência Social,Poder Executivo — Ministérios,BR-COA-33000
35000,Ministry of Foreign Affairs,Ministério das Relações Exteriores,Poder Executivo — Ministérios,BR-COA-35000
36000,Ministry of Health,Ministério da Saúde,Poder Executivo — Ministérios,BR-COA-36000
38000,Ministry of Labour and Employment,Ministério do Trabalho e Emprego,Poder Executivo — Ministérios,BR-COA-38000
39000,Ministry of Transport,Ministério dos Transportes,Poder Executivo — Ministérios,BR-COA-39000
41000,Ministry of Communications,Ministério das Comunicações,Poder Executivo — Ministérios,BR-COA-41000
42000,Ministry of Culture,Ministério da Cultura,Poder Executivo — Ministérios,BR-COA-42000
44000,Ministry of Environment and Climate Change,Ministério do Meio Ambiente e Mudança do Clima,Poder Executivo — Ministérios,BR-COA-44000
46000,Ministry of Management and Innovation in Public Services,Ministério da Gestão e da Inovação em Serviços Públicos,Poder Executivo — Ministérios,BR-COA-46000
47000,Ministry of Planning and Budget,Ministério do Planejamento e Orçamento,Poder Executivo — Ministérios,BR-COA-47000
49000,Ministry of Agrarian Development and Family Farming,Ministério do Desenvolvimento Agrário e Agricultura Familiar,Poder Executivo — Ministérios,BR-COA-49000
51000,Ministry of Sport,Ministério do Esporte,Poder Executivo — Ministérios,BR-COA-51000
52000,Ministry of Defence,Ministério da Defesa,Poder Executivo — Ministérios,BR-COA-52000
53000,Ministry of Integration and Regional Development,Ministério da Integração e do Desenvolvimento Regional,Poder Executivo — Ministérios,BR-COA-53000
