code,name_en,code_tr,Branch / Sector,Identifier
1,Grand National Assembly of Türkiye,Türkiye Büyük Millet Meclisi,Genel Bütçe Kapsamındaki Kamu İdareleri (General Budget),TR-COA-1
2,Presidency of the Republic,Cumhurbaşkanlığı,Genel Bütçe Kapsamındaki Kamu İdareleri (General Budget),TR-COA-2
3,Constitutional Court,Anayasa Mahkemesi,Genel Bütçe Kapsamındaki Kamu İdareleri (General Budget),TR-COA-3
4,Court of Cassation,Yargıtay,Genel Bütçe Kapsamındaki Kamu İdareleri (General Budget),TR-COA-4
5,Council of State,Danıştay,Genel Bütçe Kapsamındaki Kamu İdareleri (General Budget),TR-COA-5
6,Council of Judges and Prosecutors,Hâkimler ve Savcılar Kurulu,Genel Bütçe Kapsamındaki Kamu İdareleri (General Budget),TR-COA-6
7,Court of Accounts,Sayıştay,Genel Bütçe Kapsamındaki Kamu İdareleri (General Budget),TR-COA-7
8,Ministry of Justice,Adalet Bakanlığı,Genel Bütçe Kapsamındaki Kamu İdareleri (General Budget),TR-COA-8
9,Ministry of National Defence,Millî Savunma Bakanlığı,Genel Bütçe Kapsamındaki Kamu İdareleri (General Budget),TR-COA-9
10,Ministry of Interior,İçişleri Bakanlığı,Genel Bütçe Kapsamındaki Kamu İdareleri (General Budget),TR-COA-10
11,Ministry of Foreign Affairs,Dışişleri Bakanlığı,Genel Bütçe Kapsamındaki Kamu İdareleri (General Budget),TR-COA-11
12,Ministry of Treasury and Finance,Hazine ve Maliye Bakanlığı,Genel Bütçe Kapsamındaki Kamu İdareleri (General Budget),TR-COA-12
13,Ministry of National Education,Millî Eğitim Bakanlığı,Genel Bütçe Kapsamındaki Kamu İdareleri (General Budget),TR-COA-13
14,Ministry of Health,Sağlık Bakanlığı,Genel Bütçe Kapsamındaki Kamu İdareleri (General Budget),TR-COA-14
15,Ministry of Transport and Infrastructure,Ulaştırma ve Altyapı Bakanlığı,Genel Bütçe Kapsamındaki Kamu İdareleri (General Budget),TR-COA-15
16,Ministry of Family and Social Services,Aile ve Sosyal Hizmetler Bakanlığı,Genel Bütçe Kapsamındaki Kamu İdareleri (General Budget),TR-COA-16
17,Ministry of Energy and Natural Resources,Enerji ve Tabii Kaynaklar Bakanlığı,Genel Bütçe Kapsamındaki Kamu İdareleri (General Budget),TR-COA-17
18,Ministry of Culture and Tourism,Kültür ve Turizm Bakanlığı,Genel Bütçe Kapsamındaki Kamu İdareleri (General Budget),TR-COA-18
19,Ministry of Industry and Technology,Sanayi ve Teknoloji Bakanlığı,Genel Bütçe Kapsamındaki Kamu İdareleri (General Budget),TR-COA-19
20,"Ministry of Environment, Urbanisation and Climate Change","Çevre, Şehircilik ve İklim Değişikliği Bakanlığı",Genel Bütçe Kapsamındaki Kamu İdareleri (General Budget),TR-COA-20
21,Ministry of Trade,Ticaret Bakanlığı,Genel Bütçe Kapsamındaki Kamu İdareleri (General Budget),TR-COA-21
22,Ministry of Youth and Sports,Gençlik ve Spor Bakanlığı,Genel Bütçe Kapsamındaki Kamu İdareleri (General Budget),TR-COA-22
23,Ministry of Agriculture and Forestry,Tarım ve Orman Bakanlığı,Genel Bütçe Kapsamındaki Kamu İdareleri (General Budget),TR-COA-23
24,Secretariat General of the National Security Council,Millî Güvenlik Kurulu Genel Sekreterliği,Genel Bütçe Kapsamındaki Kamu İdareleri (General Budget),TR-COA-24
25,National Intelligence Organisation,Millî İstihbarat Teşkilatı Başkanlığı,Genel Bütçe Kapsamındaki Kamu İdareleri (General Budget),TR-COA-25
26,General Command of Gendarmerie,Jandarma Genel Komutanlığı,Genel Bütçe Kapsamındaki Kamu İdareleri (General Budget),TR-COA-26
27,Coast Guard Command,Sahil Güvenlik Komutanlığı,Genel Bütçe Kapsamındaki Kamu İdareleri (General Budget),TR-COA-27
28,General Directorate of Security (National Police),Emniyet Genel Müdürlüğü,Genel Bütçe Kapsamındaki Kamu İdareleri (General Budget),TR-COA-28
29,Presidency of Religious Affairs,Diyanet İşleri Başkanlığı,Genel Bütçe Kapsamındaki Kamu İdareleri (General Budget),TR-COA-29
31,Turkish Statistical Institute (TÜİK),Türkiye İstatistik Kurumu,Özel Bütçeli Diğer İdareler (Other Special Budget),TR-COA-31
32,Disaster and Emergency Management Presidency (AFAD),Afet ve Acil Durum Yönetimi Başkanlığı,Genel Bütçe Kapsamındaki Kamu İdareleri (General Budget),TR-COA-32
33,Revenue Administration,Gelir İdaresi Başkanlığı,Genel Bütçe Kapsamındaki Kamu İdareleri (General Budget),TR-COA-33
34,General Directorate of Land Registry and Cadastre,Tapu ve Kadastro Genel Müdürlüğü,Genel Bütçe Kapsamındaki Kamu İdareleri (General Budget),TR-COA-34
35,General Directorate of Meteorology,Meteoroloji Genel Müdürlüğü,Genel Bütçe Kapsamındaki Kamu İdareleri (General Budget),TR-COA-35
36,Presidency of Migration Management,Göç İdaresi Başkanlığı,Genel Bütçe Kapsamındaki Kamu İdareleri (General Budget),TR-COA-36
37,Directorate for EU Affairs,Avrupa Birliği Başkanlığı,Genel Bütçe Kapsamındaki Kamu İdareleri (General Budget),TR-COA-37
38,Presidency of State Archives,Devlet Arşivleri Başkanlığı,Genel Bütçe Kapsamındaki Kamu İdareleri (General Budget),TR-COA-38
39,Directorate of Communications,İletişim Başkanlığı,Genel Bütçe Kapsamındaki Kamu İdareleri (General Budget),TR-COA-39
40,Presidency of National Palaces Administration,Millî Saraylar İdaresi Başkanlığı,Genel Bütçe Kapsamındaki Kamu İdareleri (General Budget),TR-COA-40
