code,name_fr
01,ASSEMBLEE NATIONALE
02,CONSEIL SUPERIEUR DE LA COMMUNICATION
03,CABINET DU PREMIER MINISTRE
05,PRESIDENCE DE LA REPUBLIQUE
06,MINISTERE DE L'ENSEIGNEMENT SUPERIEUR ET DE LA RECHERCHE
07,COUR CONSTITUTIONNELLE
08,MINISTERE DE LA POSTE ET DES NOUVELLES TECHNOLOGIES DE L'INFORMATION
09,MINISTERE DE LA JEUNESSE ET DU SPORT
10,COMMISSION NATIONALE DES DROITS HUMAINS
11,MINISTERE DE L'ENSEIGNEMENT TECHNIQUE ET DE LA FORMATION PROFESSIONNELLE
12,MINISTERE DES AFFAIRES ETRANGERES ET DE LA COOPERATION
13,MINISTERE DU PLAN
15,MINISTERE DE LA DEFENSE NATIONALE
16,"CONSEIL ECONOMIQUE, SOCIAL ET CULTUREL"
17,MINISTERE DE LA JUSTICE
18,CABINET DU MEDIATEUR DE LA REPUBLIQUE
20,COUR DE CASSATION
21,CONSEIL D'ETAT
22,COUR DES COMPTES
23,"MINISTERE DE LA COMMUNICATION, CHARGE DES RELATIONS AVEC LES INSTITUTIONS"
24,SECRETARIAT GENERAL DU GOUVERNEMENT (SGG)
25,MINISTERE DE L'INTERIEUR ET DE LA DECENTRALISATION
27,"MINISTERE DE LA CULTURE, DU TOURISME ET DE L'ARTISANAT"
37,MINISTERE DE L'ENERGIE ET DES ENERGIES RENOUVELABLES
39,MINISTERE DE L'INDUSTRIE ET DE L'ENTREPRENEURIAT DES JEUNES
40,"MINISTERE DE L'EMPLOI, DU TRAVAIL ET DE LA PROTECTION SOCIALE"
41,MINISTERE DE LA FONCTION PUBLIQUE ET DE LA REFORME ADMINISTRATIVE
47,MINISTERE DES FINANCES
48,MINISTERE DE L'ACTION HUMANITAIRE ET DE LA GESTION DES CATASTROPHES
52,MINISTERE DU COMMERCE
53,MINISTERE DES TRANSPORTS
54,MINISTERE DE L'AGRICULTURE
55,MINISTERE DE L'ELEVAGE
56,MINISTERE DE L'AMENAGEMENT DU TERRITOIRE ET DU DEVELOPPEMENT COMMUNAUTAIRE
57,MINISTERE DU PETROLE
58,MINISTERE DE L'EQUIPEMENT
59,MINISTERE DES MINES
60,MINISTERE DE L'ENVIRONNEMENT ET DE LA LUTTE CONTRE LA DESERTIFICATION
61,MINISTERE DE L'EDUCATION NATIONALE
62,MINISTERE DE L'HYDRAULIQUE ET DE L'ASSAINISSEMENT
64,"MINISTERE DE LA SANTE PUBLIQUE, DE LA POPULATION ET DES AFFAIRES SOCIALES"
65,MINISTERE DE LA PROMOTION DE LA FEMME ET DE LA PROTECTION DE L'ENFANT
68,"MINISTERE DE L'URBANISME, ET DU LOGEMENT"
99,CHARGES COMMUNES
