ï»¿Code,name_en
01,Congress of the Philippines (CONGRESS)
02,Office of the President (OP)
03,Office of the Vice-President (OVP)
04,Department of Agrarian Reform (DAR)
05,Department of Agriculture (DA)
06,Department of Budget and Management (DBM)
07,Department of Education (DepEd)
08,State Universities and Colleges (SUCs)
09,Department of Energy (DOE)
10,Department of Environment and Natural Resources (DENR)
11,Department of Finance (DOF)
12,Department of Foreign Affairs (DFA)
13,Department of Health (DOH)
14,Department of the Interior and Local Government (DILG)
15,Department of Justice (DOJ)
16,Department of Labor and Employment (DOLE)
17,Department of National Defense (DND)
18,Department of Public Works and Highways (DPWH)
19,Department of Science and Technology (DOST)
20,Department of Social Welfare and Development (DSWD)
21,Department of Tourism (DOT)
22,Department of Trade and Industry (DTI)
23,Department of Transportation and Communications (DOTC)
24,National Economic and Development Authority (NEDA)
25,Presidential Communications Operations Office (PCOO)
26,Other Executive Offices (OEOs)
27,Autonomous Region in Muslim Mindanao (ARMM)
28,Joint Legislative-Executive Councils (JLEC)
29,The Judiciary (JUD)
30,Civil Service Commission (CSC)
31,Commission on Audit (COA)
32,Commission on Elections (COMELEC)
33,Office of the Ombudsman (OMB)
34,Commission on Human Rights (CHR)
35,Budgetary Support to Government Corporations (BSGC)
36,Allocations to Local Government Units (ALGU)
37,Department of Information and Communications Technology (DICT)
38,Department of Transportation (DOTr)
39,Department of Human Settlements and Urban Development (DHSUD)
40,Department of Migrant Workers
01001,Senate
01002,Senate Electoral Tribunal
01003,Commission on Appointments
01004,House of Representatives
01005,House of Representatives Electoral Tribunal
02001,The President's Offices
03000,Office of the Vice-President (OVP)
04001,Department of Agrarian Reform (Office of the Secretary)
05001,Department of Agriculture (Office of the Secretary)
05002,Agricultural Credit Policy Council
05003,Bureau of Fisheries and Aquatic Resources
05004,Cotton Development Administration
05005,Fertilizer and Pesticide Authority
05006,Fiber Industry Development Authority
05007,Livestock Development Council
05008,National Agricultural and Fishery Council
05009,National Meat Inspection Service
05010,Philippine Carabao Center
05011,Philippine Center for Post-Harvest Development and Mechanization
05012,Philippine Fiber Industry Development Authority
05013,Philippine Council for Agriculture and Fisheries
